RPM,Tq,Time
2489,943,1659832637.9168901
2495,975,1659832637.932889
2499,994,1659832637.9438899
2500,1010,1659832637.9548898
2531,1025,1659832637.965889
2568,1040,1659832637.9778895
2608,1056,1659832637.9878883
2645,1067,1659832637.99889
2690,1073,1659832638.0088904
2721,1087,1659832638.018889
2788,1099,1659832638.0318897
2807,1111,1659832638.0428894
2822,1120,1659832638.0548902
2851,1132,1659832638.0648885
2909,1149,1659832638.0758893
2964,1161,1659832638.0848906
3019,1172,1659832638.0978892
3075,1184,1659832638.108889
3126,1195,1659832638.1218882
3175,1204,1659832638.1328886
3227,1214,1659832638.1448896
3280,1221,1659832638.1578896
3335,1230,1659832638.1678886
3393,1243,1659832638.179889
3453,1248,1659832638.1918905
3523,1259,1659832638.2058897
3472,276,1659832638.2148912
3363,297,1659832638.2258961
3266,387,1659832638.237889
3166,327,1659832638.24989
3159,977,1659832638.2638907
3211,1091,1659832638.2748907
3253,1050,1659832638.2858896
3294,1053,1659832638.2968884
3336,1053,1659832638.3078895
3377,1050,1659832638.3188903
3418,1051,1659832638.3298903
3460,1056,1659832638.3428905
3503,1060,1659832638.357889
3544,1062,1659832638.36789
3587,1066,1659832638.3788881
3627,1061,1659832638.38889
3669,1071,1659832638.399931
3711,1069,1659832638.411931
3752,1071,1659832638.4239304
3793,1066,1659832638.4369311
3834,1067,1659832638.4469302
3875,1067,1659832638.460931
3916,1067,1659832638.4709299
3957,1067,1659832638.4859316
3997,1068,1659832638.495931
4038,1070,1659832638.505931
4078,1072,1659832638.516931
4119,1074,1659832638.5279303
4159,1077,1659832638.5385478
4199,1079,1659832638.5495481
4239,1083,1659832638.5625474
4278,1087,1659832638.5735476
4318,1091,1659832638.5855477
4358,1095,1659832638.5965478
4398,1099,1659832638.6075466
4438,1103,1659832638.6185474
4478,1107,1659832638.6315484
4519,1111,1659832638.6425476
4560,1115,1659832638.6555471
4602,1118,1659832638.6655476
4644,1121,1659832638.6775472
4686,1124,1659832638.6895473
4728,1125,1659832638.70055
4770,1126,1659832638.7145476
4813,1127,1659832638.7255468
4856,1128,1659832638.7365484
4898,1128,1659832638.746548
4941,1128,1659832638.7585478
4983,1127,1659832638.7705486
5025,1126,1659832638.7845473
5067,1125,1659832638.7935476
5109,1123,1659832638.805547
5151,1121,1659832638.8175478
5193,1119,1659832638.8285468
5234,1116,1659832638.8395483
5276,1113,1659832638.8535485
5318,1109,1659832638.8655496
5360,1104,1659832638.8765483
5403,1097,1659832638.8885474
5445,1089,1659832638.8995476
5487,1081,1659832638.9115472
5528,1074,1659832638.923548
5569,1067,1659832638.9345472
5610,1061,1659832638.9455485
5649,1057,1659832638.9565482
5688,1055,1659832638.9665468
5726,1055,1659832638.9785466
5763,1056,1659832638.988547
5801,1059,1659832639.0015478
5838,1063,1659832639.0125468
5876,1069,1659832639.0245478
5913,1077,1659832639.0355487
5950,1086,1659832639.0475473
5988,1095,1659832639.0585482
6026,1104,1659832639.0705473
6065,1113,1659832639.082547
6104,1123,1659832639.0945477
6144,1133,1659832639.1065466
6184,1142,1659832639.1185477
6225,1153,1659832639.1285474
6266,1163,1659832639.1405475
6308,1169,1659832639.1505482
6352,1168,1659832639.1635473
6393,1167,1659832639.2485473
6439,1170,1659832639.2495472
6491,1164,1659832639.2495472
6544,1152,1659832639.2495472
6599,1142,1659832639.2565484
6654,1131,1659832639.2675464
6710,1117,1659832639.3250577
6773,1091,1659832639.3250577
6839,1040,1659832639.326058
6893,1030,1659832639.3420577
6943,1048,1659832639.3550575
6992,1087,1659832639.3640606
7051,1087,1659832639.3790584
7110,1063,1659832639.391058
7166,1034,1659832639.4120579
7216,1022,1659832639.426059
7261,1026,1659832639.4380589
7305,1031,1659832639.4490573
7347,1029,1659832639.4750566
7383,1041,1659832639.4750566
7421,1062,1659832639.4870596
7462,1077,1659832639.5000575
7503,1085,1659832639.5100596
7238,-570,1659832639.5270576
7195,-528,1659832639.5360587
7173,-513,1659832639.5460584
7153,-500,1659832639.5570576
7094,-486,1659832639.5760581
6907,-394,1659832639.5870578
6737,-383,1659832639.6000571
6574,-372,1659832639.6140585
6413,-361,1659832639.6270587
6255,-350,1659832639.6400595
5183,875,1659832639.6520581
4682,0,1659832639.666059
4510,849,1659832639.6860573
4525,1074,1659832639.6880572
4546,1136,1659832639.7280588
4569,1201,1659832639.8080575
4594,1255,1659832640.0280583
4617,1299,1659832640.0310597
4641,1335,1659832640.034059
4666,1364,1659832640.0380585
4691,1388,1659832640.0380585
4718,1406,1659832640.0390575
4747,1423,1659832640.0450602
4776,1437,1659832640.0550587
4806,1448,1659832640.0550587
4835,1456,1659832640.0560594
4865,1462,1659832640.0570588
4896,1466,1659832640.0570588
4926,1469,1659832640.0570588
4958,1471,1659832640.058059
4990,1470,1659832640.058059
5019,1457,1659832640.058059
5047,1448,1659832640.058059
5072,1445,1659832640.0590587
5096,1448,1659832640.0590587
5120,1459,1659832640.0590587
5144,1470,1659832640.0590587
5166,1469,1659832640.0600586
5188,1468,1659832640.0600586
5209,1467,1659832640.080058
5230,1466,1659832640.0870585
5251,1464,1659832640.1020591
5273,1463,1659832640.116059
5294,1462,1659832640.1260595
5316,1460,1659832640.1380587
5337,1459,1659832640.1490588
5358,1457,1659832640.1660585
5381,1455,1659832640.17506
5403,1454,1659832640.1860576
5426,1452,1659832640.2000585
5449,1450,1659832640.211059
5473,1448,1659832640.2280579
5497,1446,1659832640.2390594
5522,1444,1659832640.250059
5546,1442,1659832640.2670584
5570,1440,1659832640.273059
5594,1438,1659832640.2890584
5618,1436,1659832640.302058
5641,1434,1659832640.3160584
5663,1432,1659832640.326059
5684,1430,1659832640.3420596
5704,1429,1659832640.3610597
5724,1427,1659832640.37406
5744,1425,1659832640.3850586
5763,1423,1659832640.395059
5784,1421,1659832640.4130576
5805,1419,1659832640.4310582
5827,1417,1659832640.4440594
5850,1415,1659832640.455058
5877,1413,1659832640.4880579
5909,1409,1659832640.5250576
5939,1406,1659832640.5340588
5969,1403,1659832640.546058
5997,1400,1659832640.5570593
6025,1398,1659832640.5690596
6050,1395,1659832640.58106
6074,1393,1659832640.594059
6098,1391,1659832640.60506
6123,1388,1659832640.6210582
6145,1386,1659832640.6330583
6165,1383,1659832640.6450589
6185,1381,1659832640.6570573
6207,1379,1659832640.6690583
6230,1376,1659832640.6850595
6255,1374,1659832640.6940594
6281,1371,1659832640.7060585
6306,1368,1659832640.7180586
6329,1366,1659832640.7310598
6350,1363,1659832640.7430599
6373,1361,1659832640.7550588
6388,1359,1659832640.7660608
6404,1357,1659832640.7790585
6418,1355,1659832640.7910593
6433,1354,1659832640.8010588
6449,1352,1659832640.8130589
6462,1350,1659832640.8270597
6478,1349,1659832640.8400598
6494,1347,1659832640.8560574
6511,1345,1659832640.8660583
6528,1343,1659832640.8770583
6545,1341,1659832640.8920617
6564,1339,1659832640.904061
6583,1337,1659832640.9170594
6603,1335,1659832640.9270582
6623,1332,1659832640.9380574
6642,1330,1659832640.9500594
6661,1328,1659832640.9630582
6680,1326,1659832640.9750583
6701,1324,1659832640.9990592
6721,1321,1659832641.012058
6741,1319,1659832641.0240576
6761,1317,1659832641.0350597
6781,1314,1659832641.0470576
6801,1312,1659832641.0590584
6822,1309,1659832641.0730598
6844,1307,1659832641.0840585
6865,1304,1659832641.0970585
6887,1302,1659832641.1090584
6909,1299,1659832641.1200588
6930,1297,1659832641.1340642
6951,1295,1659832641.1470582
6968,1292,1659832641.1570582
6983,1291,1659832641.1680584
6996,1289,1659832641.180058
7010,1287,1659832641.19306
7022,1284,1659832641.2040586
7035,1282,1659832641.2150578
7047,1280,1659832641.226059
7060,1277,1659832641.2440593
7073,1275,1659832641.253059
7088,1272,1659832641.2640593
7105,1269,1659832641.2770588
7123,1265,1659832641.289057
7143,1261,1659832641.3010595
7164,1257,1659832641.3130677
7186,1253,1659832641.324061
7207,1248,1659832641.337057
7228,1244,1659832641.350059
7250,1239,1659832641.3650594
7270,1234,1659832641.3780582
7288,1230,1659832641.3890576
7303,1227,1659832641.4010592
7316,1224,1659832641.4140587
7329,1221,1659832641.426058
7342,1218,1659832641.4390593
7157,-531,1659832641.452058
6951,-397,1659832641.4680607
6774,-385,1659832641.4800587
6605,-373,1659832641.4910583
6444,-361,1659832641.5030587
6286,-348,1659832641.517058
5651,904,1659832641.5310588
5598,982,1659832641.544059
5607,1060,1659832641.5550592
5619,1127,1659832641.566058
5631,1180,1659832641.579059
5641,1224,1659832641.5950587
5652,1259,1659832641.6050613
5662,1288,1659832641.6160583
5671,1312,1659832641.6270602
5681,1332,1659832641.6430585
5692,1349,1659832641.6540582
5703,1361,1659832641.6650586
5716,1372,1659832641.6770632
5731,1380,1659832641.6900592
5747,1386,1659832641.7000573
5765,1391,1659832641.7140582
5782,1395,1659832641.728058
5798,1398,1659832641.740059
5810,1401,1659832641.7530582
5818,1403,1659832641.7660573
5827,1405,1659832641.7780597
5832,1406,1659832641.7890577
5840,1407,1659832641.8010585
5846,1408,1659832641.8140585
5855,1408,1659832641.8240716
5862,1409,1659832641.839059
5873,1409,1659832641.851058
5886,1408,1659832641.8630593
5899,1407,1659832641.8740623
5913,1406,1659832641.8880591
5927,1405,1659832641.900059
5940,1404,1659832641.919058
5951,1404,1659832641.9250584
5961,1403,1659832641.9360573
5970,1402,1659832641.9470582
5979,1401,1659832641.9590583
5987,1401,1659832641.9690578
5995,1400,1659832641.983058
6003,1399,1659832641.9930594
6012,1398,1659832642.0070581
6022,1397,1659832642.0180578
6034,1396,1659832642.030058
6046,1395,1659832642.0400589
6059,1394,1659832642.0540574
6073,1392,1659832642.0650592
6087,1391,1659832642.07706
6100,1390,1659832642.0860584
6111,1388,1659832642.1000605
6120,1388,1659832642.1140678
6127,1387,1659832642.1270583
6134,1386,1659832642.138059
6141,1385,1659832642.1500587
6147,1385,1659832642.1620586
6153,1384,1659832642.175058
6161,1383,1659832642.2090576
6171,1382,1659832642.215059
6183,1381,1659832642.2250578
6197,1380,1659832642.238059
6213,1378,1659832642.2600594
6230,1376,1659832642.2650578
6248,1374,1659832642.2860582
6263,1372,1659832642.28806
6276,1371,1659832642.3030581
6287,1370,1659832642.314057
6297,1369,1659832642.3270574
6305,1368,1659832642.3460588
6310,1367,1659832642.3540583
6315,1367,1659832642.370058
6329,1365,1659832642.3900583
6349,1363,1659832642.400057
6352,1363,1659832642.5430572
6358,1362,1659832642.5430572
6385,1360,1659832642.5430572
6390,1359,1659832642.719058
6398,1358,1659832642.9970584
6408,1357,1659832643.0140598
6421,1355,1659832643.0550578
6435,1354,1659832643.0560582
6448,1352,1659832643.0650587
6459,1351,1659832643.0670578
6469,1350,1659832643.0680594
6479,1348,1659832643.0680594
6488,1347,1659832643.0700586
6497,1346,1659832643.1060576
6506,1345,1659832643.1280582
6516,1344,1659832643.1280582
6527,1343,1659832643.135059
6537,1342,1659832643.1370592
6547,1341,1659832643.1380599
6557,1340,1659832643.1380599
6566,1339,1659832643.1380599
6575,1338,1659832643.1380599
6584,1337,1659832643.1390593
6594,1335,1659832643.1400583
6605,1334,1659832643.1400583
6618,1333,1659832643.1400583
6632,1331,1659832643.1400583
6647,1330,1659832643.1410584
6660,1328,1659832643.143058
6673,1327,1659832643.1450596
6684,1325,1659832643.1450596
6694,1324,1659832643.1480591
6703,1323,1659832643.1480591
6713,1322,1659832643.1620588
6725,1321,1659832643.1650608
6736,1319,1659832643.1650608
6747,1318,1659832643.1660585
6758,1317,1659832643.1680582
6769,1316,1659832643.1710591
6780,1314,1659832643.17206
6790,1313,1659832643.173059
6802,1312,1659832643.1750596
6815,1310,1659832643.1750596
6829,1309,1659832643.1750596
6842,1307,1659832643.1760585
6853,1306,1659832643.1760585
6863,1304,1659832643.1770585
6871,1303,1659832643.1770585
6878,1303,1659832643.178059
6884,1302,1659832643.1800592
6891,1301,1659832643.1810586
6898,1300,1659832643.1810586
6907,1299,1659832643.182064
6917,1298,1659832643.182064
6929,1297,1659832643.183058
6943,1295,1659832643.183058
6955,1294,1659832643.183058
6965,1293,1659832643.1880574
6973,1292,1659832643.2000594
6980,1291,1659832643.2130587
6987,1290,1659832643.227059
6992,1289,1659832643.2400594
6997,1289,1659832643.2520583
7004,1288,1659832643.263059
7011,1286,1659832643.2730608
7020,1285,1659832643.2870593
7030,1283,1659832643.301061
7041,1281,1659832643.3130584
7054,1278,1659832643.3260589
7067,1276,1659832643.3400605
7078,1274,1659832643.352059
7089,1272,1659832643.365058
7101,1270,1659832643.3780582
7112,1267,1659832643.3890584
7121,1265,1659832643.4030588
7128,1264,1659832643.414059
7132,1263,1659832643.4240625
7137,1262,1659832643.4340606
7141,1261,1659832643.4470584
7146,1260,1659832643.4610586
7151,1259,1659832643.475058
7157,1258,1659832643.48706
7165,1256,1659832643.4960573
7174,1254,1659832643.5090585
7186,1252,1659832643.525058
7198,1250,1659832643.5370588
7212,1247,1659832643.5480578
7223,1244,1659832643.5640583
7231,1242,1659832643.5720584
7238,1241,1659832643.5830579
7245,1239,1659832643.6060574
7252,1238,1659832643.61606
7259,1236,1659832643.6290615
7267,1235,1659832643.6430588
7277,1232,1659832643.6530588
7288,1230,1659832643.6650598
7295,1228,1659832643.6780584
7302,1227,1659832643.6900578
7309,1225,1659832643.7020588
7316,1224,1659832643.7150578
7322,1222,1659832643.7260578
7329,1221,1659832643.7370589
7337,1219,1659832643.7490604
7347,1217,1659832643.7610588
7358,1214,1659832643.7740579
7369,1212,1659832643.788059
7379,1209,1659832643.8010576
7387,1207,1659832643.8140583
7393,1206,1659832643.8240588
7398,1205,1659832643.8370607
7403,1204,1659832643.849057
7408,1202,1659832643.8610575
7414,1201,1659832643.874061
7206,-563,1659832643.8850584
6995,-418,1659832643.8980603
6825,-388,1659832643.9100585
6664,-375,1659832643.9220607
6510,-362,1659832643.9340825
6362,-348,1659832643.9446418
6221,-334,1659832643.9556444
6153,777,1659832643.9666414
6131,912,1659832643.977642
6136,982,1659832643.9896421
6141,1047,1659832644.0006418
6145,1100,1659832644.0116417
6151,1145,1659832644.0236425
6157,1183,1659832644.0346408
6164,1214,1659832644.0456417
6172,1240,1659832644.0566459
6181,1261,1659832644.0716429
6190,1280,1659832644.0816429
6199,1296,1659832644.099643
6206,1309,1659832644.1106415
6210,1320,1659832644.122643
6214,1330,1659832644.1336424
6218,1337,1659832644.1466422
6222,1344,1659832644.156643
6227,1349,1659832644.1686416
